"GLOBALEVENTID" "SQLDATE" "MonthYear" "Year" "FractionDate" "Actor1Code" "Actor1Name" "Actor1CountryCode" "Actor1KnownGroupCode" "Actor1EthnicCode" "Actor1Religion1Code" "Actor1Religion2Code" "Actor1Type1Code" "Actor1Type2Code" "Actor1Type3Code" "Actor2Code" "Actor2Name" "Actor2CountryCode" "Actor2KnownGroupCode" "Actor2EthnicCode" "Actor2Religion1Code" "Actor2Religion2Code" "Actor2Type1Code" "Actor2Type2Code" "Actor2Type3Code" "IsRootEvent" "EventCode" "EventBaseCode" "EventRootCode" "QuadClass" "GoldsteinScale" "NumMentions" "NumSources" "NumArticles" "AvgTone" "Actor1Geo_Type" "Actor1Geo_FullName" "Actor1Geo_CountryCode" "Actor1Geo_ADM1Code" "Actor1Geo_Lat" "Actor1Geo_Long" "Actor1Geo_FeatureID" "Actor2Geo_Type" "Actor2Geo_FullName" "Actor2Geo_CountryCode" "Actor2Geo_ADM1Code" "Actor2Geo_Lat" "Actor2Geo_Long" "Actor2Geo_FeatureID" "ActionGeo_Type" "ActionGeo_FullName" "ActionGeo_CountryCode" "ActionGeo_ADM1Code" "ActionGeo_Lat" "ActionGeo_Long" "ActionGeo_FeatureID" "DATEADDED" "SOURCEURL"
"14439" 254469512 20130501 201305 2013 2013.3315 "GOV" "AUTHORITIES" NA NA NA NA NA "GOV" NA NA " LEG" "REPRESENTATIVES" NA NA NA NA NA "LEG" NA NA 1 "050" "050" "05" 1 3.5 4 1 4 0.617283950617284 4 "South Ossetia, Georgia (general), Georgia" "GG" "GG00" 42.3333 44 -2329959 4 "South Ossetia, Georgia (general), Georgia" "GG" "GG00" 42.3333 44 -2329959 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/regions/scaucasus/georgia/2145806.html"
"14517" 254469590 20130501 201305 2013 2013.3315 "GOV" "PRESIDENT" NA NA NA NA NA "GOV" NA NA " MIL" "ARMY" NA NA NA NA NA "MIL" NA NA 1 "051" "051" "05" 1 3.4 2 1 2 3.26086956521739 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/regions/scaucasus/georgia/2145445.html"
"14519" 254469592 20130501 201305 2013 2013.3315 "GOV" "PRESIDENT" NA NA NA NA NA "GOV" NA NA " MIL" "ARMY" NA NA NA NA NA "MIL" NA NA 1 "051" "051" "05" 1 3.4 2 1 2 3.26086956521739 2 "Georgia, United States" "US" "USGA" 0 0 NA 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/regions/scaucasus/georgia/2145445.html"
"14828" 254469901 20130501 201305 2013 2013.3315 "GOV" "PRIME MINISTER" NA NA NA NA NA "GOV" NA NA " USA" "UNITED STATES" "USA" NA NA NA NA NA NA NA 1 "036" "036" "03" 1 4 1 1 1 0.840336134453782 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 2 "Georgia, United States" "US" "USGA" 40.5773 -77.264 NA 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/regions/scaucasus/georgia/2145610.html"
"14968" 254470041 20130501 201305 2013 2013.3315 "GOV" "PRESIDENT" NA NA NA NA NA "GOV" NA NA " USAGOV" "UNITED STATES" "USA" NA NA NA NA "GOV" NA NA 1 "040" "040" "04" 1 1 2 1 2 5.41871921182266 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/news/politics/2145892.html"
"14971" 254470044 20130501 201305 2013 2013.3315 "GOV" "PRESIDENT" NA NA NA NA NA "GOV" NA NA " USAGOV" "UNITED STATES" "USA" NA NA NA NA "GOV" NA NA 0 "042" "042" "04" 1 1.9 1 1 1 5.05836575875486 1 "Georgia" "GG" "GG" 42 43.5 NA 2 "Georgia, United States" "US" "USGA" 0 0 NA 1 "Georgia" "GG" "GG" 42 43.5 NA 20130501 "http://www.google.com/hostednews/afp/article/ALeqM5g_UoZL952tNL5ZgP7ZTHKhvtxuDQ?docId=CNG.2537da84c5686c0f757b07cff09194dc.741"
"14973" 254470046 20130501 201305 2013 2013.3315 "GOV" "PRESIDENT" NA NA NA NA NA "GOV" NA NA " USAGOV" "UNITED STATES" "USA" NA NA NA NA "GOV" NA NA 0 "051" "051" "05" 1 3.4 1 1 1 5.05836575875486 1 "Georgia" "GG" "GG" 42 43.5 NA 2 "Georgia, United States" "US" "USGA" 0 0 NA 1 "Georgia" "GG" "GG" 42 43.5 NA 20130501 "http://www.google.com/hostednews/afp/article/ALeqM5g_UoZL952tNL5ZgP7ZTHKhvtxuDQ?docId=CNG.2537da84c5686c0f757b07cff09194dc.741"
"15863" 254470936 20130501 201305 2013 2013.3315 "IGOEURSCE" "OSCE" "EUR" "SCE" NA NA NA "IGO" NA NA " " NA NA NA NA NA NA NA NA NA 1 "046" "046" "04" 1 7 4 1 4 0.840336134453782 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 0 NA NA NA NA NA NA 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/regions/scaucasus/georgia/2145610.html"
"15864" 254470937 20130501 201305 2013 2013.3315 "IGOEURSCE" "OSCE" "EUR" "SCE" NA NA NA "IGO" NA NA " GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA 1 "036" "036" "03" 1 4 2 1 2 0.840336134453782 2 "Pennsylvania, United States" "US" "USPA" 40.5773 -77.264 NA 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/regions/scaucasus/georgia/2145610.html"
"15866" 254470939 20130501 201305 2013 2013.3315 "IGOEURSCE" "OSCE" "EUR" "SCE" NA NA NA "IGO" NA NA " GOV" "PRIME MINISTER" NA NA NA NA NA "GOV" NA NA 1 "036" "036" "03" 1 4 2 1 2 0.840336134453782 2 "Pennsylvania, United States" "US" "USPA" 40.5773 -77.264 NA 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130501 "http://en.trend.az/regions/scaucasus/georgia/2145610.html"
