"GLOBALEVENTID" "SQLDATE" "MonthYear" "Year" "FractionDate" "Actor1Code" "Actor1Name" "Actor1CountryCode" "Actor1KnownGroupCode" "Actor1EthnicCode" "Actor1Religion1Code" "Actor1Religion2Code" "Actor1Type1Code" "Actor1Type2Code" "Actor1Type3Code" "Actor2Code" "Actor2Name" "Actor2CountryCode" "Actor2KnownGroupCode" "Actor2EthnicCode" "Actor2Religion1Code" "Actor2Religion2Code" "Actor2Type1Code" "Actor2Type2Code" "Actor2Type3Code" "IsRootEvent" "EventCode" "EventBaseCode" "EventRootCode" "QuadClass" "GoldsteinScale" "NumMentions" "NumSources" "NumArticles" "AvgTone" "Actor1Geo_Type" "Actor1Geo_FullName" "Actor1Geo_CountryCode" "Actor1Geo_ADM1Code" "Actor1Geo_Lat" "Actor1Geo_Long" "Actor1Geo_FeatureID" "Actor2Geo_Type" "Actor2Geo_FullName" "Actor2Geo_CountryCode" "Actor2Geo_ADM1Code" "Actor2Geo_Lat" "Actor2Geo_Long" "Actor2Geo_FeatureID" "ActionGeo_Type" "ActionGeo_FullName" "ActionGeo_CountryCode" "ActionGeo_ADM1Code" "ActionGeo_Lat" "ActionGeo_Long" "ActionGeo_FeatureID" "DATEADDED" "SOURCEURL"
"100640" 227210315 20130102 201301 2013 2013.0055 "POL" "POLISH" "POL" NA NA NA NA NA NA NA "REF" "REFUGEE" NA NA NA NA NA "REF" NA NA 0 "075" "075" "07" 2 7 1 1 1 2.21590909090909 4 "Caucasus, Georgia (general), Georgia" "GG" "GG00" 42.5 45 -2891161 4 "Caucasus, Georgia (general), Georgia" "GG" "GG00" 42.5 45 -2891161 4 "Caucasus, Georgia (general), Georgia" "GG" "GG00" 42.5 45 -2891161 20130203 ""
"110532" 227220207 20130102 201301 2013 2013.0055 "USA" "UNITED STATES" "USA" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 "084" "084" "08" 2 7 4 1 4 4.54545454545455 1 "Georgia" "GG" "GG" 42 43.5 0 0 NA NA NA 0 0 0 1 "Georgia" "GG" "GG" 42 43.5 0 20130203 ""
"112348" 227222023 20130102 201301 2013 2013.0055 "USA" "UNITED STATES" "USA" NA NA NA NA NA NA NA "AFG" "AFGHANISTAN" "AFG" NA NA NA NA NA NA NA 1 "0234" "023" "02" 1 3.4 1 1 1 2.8 5 "Helmand, Helmand, Afghanistan" "AF" "AF10" 31 64 -3377342 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"112349" 227222024 20130102 201301 2013 2013.0055 "USA" "UNITED STATES" "USA" NA NA NA NA NA NA NA "AFG" "AFGHANISTAN" "AFG" NA NA NA NA NA NA NA 1 "0234" "023" "02" 1 3.4 2 1 2 2.8 5 "Helmand, Helmand, Afghanistan" "AF" "AF10" 31 64 -3377342 5 "Helmand, Helmand, Afghanistan" "AF" "AF10" 31 64 -3377342 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"112350" 227222025 20130102 201301 2013 2013.0055 "USA" "UNITED STATES" "USA" NA NA NA NA NA NA NA "AFG" "AFGHANISTAN" "AFG" NA NA NA NA NA NA NA 1 "0234" "023" "02" 1 3.4 3 1 3 2.8 2 "Georgia, United States" "US" "USGA" 0 0 0 5 "Helmand, Helmand, Afghanistan" "AF" "AF10" 31 64 -3377342 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"115055" 227224730 20130102 201301 2013 2013.0055 "USA" "UNITED STATES" "USA" NA NA NA NA NA NA NA "GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA 1 "010" "010" "01" 1 0 6 1 6 2.85714285714286 2 "Georgia, United States" "US" "USGA" 0 0 0 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"115056" 227224731 20130102 201301 2013 2013.0055 "USA" "UNITED STATES" "USA" NA NA NA NA NA NA NA "GEOGOV" "MIKHEIL SAAKASHVILI" "GEO" NA NA NA NA "GOV" NA NA 1 "020" "020" "02" 1 3 6 1 6 2.85714285714286 2 "Georgia, United States" "US" "USGA" 0 0 0 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"124575" 227234250 20130103 201301 2013 2013.0082 NA NA NA NA NA NA NA NA NA NA "AFG" "AFGHANISTAN" "AFG" NA NA NA NA NA NA NA 1 "190" "190" "19" 4 -10 7 1 7 3.44827586206897 NA NA NA NA 0 0 0 4 "Kabul, Kabol, Afghanistan" "AF" "AF13" 34.5167 69.1833 -3378435 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"126876" 227236551 20130103 201301 2013 2013.0082 NA NA NA NA NA NA NA NA NA NA "EDU" "SCHOOL" NA NA NA NA NA "EDU" NA NA 1 "043" "043" "04" 1 2.8 10 1 10 3.87243735763098 NA NA NA NA 0 0 0 1 "Georgia" "GG" "GG" 42 43.5 0 1 "Georgia" "GG" "GG" 42 43.5 0 20130203 ""
"127052" 227236727 20130103 201301 2013 2013.0082 NA NA NA NA NA NA NA NA NA NA "ELI" "RETIRED" NA NA NA NA NA "ELI" NA NA 1 "043" "043" "04" 1 2.8 10 1 10 3.87243735763098 NA NA NA NA 0 0 0 1 "Georgia" "GG" "GG" 42 43.5 0 1 "Georgia" "GG" "GG" 42 43.5 0 20130203 ""
"134745" 227244420 20130103 201301 2013 2013.0082 "AFG" "AFGHANISTAN" "AFG" NA NA NA NA NA NA NA "MIL" "MILITARY BASE" NA NA NA NA NA "MIL" NA NA 1 "190" "190" "19" 4 -10 2 1 2 2.94117647058824 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 4 "Tbilisi, Georgia (general), Georgia" "GG" "GG00" 41.725 44.7908 -2330077 20130203 ""
"134760" 227244435 20130103 201301 2013 2013.0082 "AFG" "AFGHANISTAN" "AFG" NA NA NA NA NA NA NA "MIL" "MILITARY BASE" NA NA NA NA NA "MIL" NA NA 1 "190" "190" "19" 4 -10 2 1 2 3.2258064516129 1 "Georgia" "GG" "GG" 42 43.5 0 1 "Georgia" "GG" "GG" 42 43.5 0 1 "Georgia" "GG" "GG" 42 43.5 0 20130203 ""
"143046" 227252721 20130103 201301 2013 2013.0082 "CHRDOX" "ORTHODOX CHRISTIAN" NA NA NA "CHR" "DOX" NA NA NA "RUS" "MOSCOW" "RUS" NA NA NA NA NA NA NA 1 "036" "036" "03" 1 4 8 1 8 6.79012345679012 2 "Georgia, United States" "US" "USGA" 0 0 0 1 "Georgia" "GG" "GG" 42 43.5 0 1 "Georgia" "GG" "GG" 42 43.5 0 20130203 ""
"144544" 227254219 20130103 201301 2013 2013.0082 "COP" "DEPUTIES" NA NA NA NA NA "COP" NA NA NA NA NA NA NA NA NA NA NA NA 0 "190" "190" "19" 4 -10 1 1 1 4.52127659574468 3 "Clayton County, Georgia, United States" "US" "USGA" 33.5334 -84.3666 1672399 0 NA NA NA 0 0 0 0 "Layla, Georgia (general), Georgia" "GG" "GG00" 42.994 42.4185 NA 20130203 ""
"149516" 227259191 20130103 201301 2013 2013.0082 "CVL" "VILLAGE" NA NA NA NA NA "CVL" NA NA "USA" "UNITED STATES" "USA" NA NA NA NA NA NA NA 1 "017" "017" "01" 1 0 2 1 2 1.95258019525802 4 "Zemo Alvani, Georgia (general), Georgia" "GG" "GG00" 42.0444 45.3008 -2330809 2 "Georgia, United States" "US" "USGA" 0 0 0 4 "Zemo Alvani, Georgia (general), Georgia" "GG" "GG00" 42.0444 45.3008 -2330809 20130203 ""
